objectid,title,creator,date,date-is-approximate?,Medium,description,identifier,dimensions,artist bio,artist quote,subject,location,latitude,longitude,source,type,language,rights,rightsstatement,display_template,object_location,image_alt_text,object_transcript,credit_line,Nationality,Period,parentid
acm_001,Landscape,Elizabeth Hilton,Possibly 2009,TRUE,Oil pastel on paper,"Landscape with trees, flowering shrubs, and a small house reflected along the edge of a calm body of water.",ACM.2009.001,12 x 8.5 in.,,,Landscapes;Trees;Houses;Flowers;Water,Jackson,,,Arts Center of Mississippi,image,English,In copyright,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/acm_001.JPG,Portrait painting with a dark background and a seated figure.,,City of Jackson Permanent Collection,American,Contemporary,
acm_002,Portrait,Unknown,,TRUE,Oil on canvas board,"Bust-length portrait of a woman with short dark hair, a white collar, and a light green garment against a neutral background.",ACM.2022.001,17.5 x 21.5 in.,,,Portraits;Women,Mississippi,,,Arts Center of Mississippi,image,English,In copyright,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/acm_002.png,Small landscape painting showing a river and low horizon.,,City of Jackson Permanent Collection,American,Modern,
acm_003,Winter Scene,Elizabeth Piazza,1982,FALSE,Watercolor on Paper,"Winter landscape with a small house, bare trees, and snow-covered ground rendered in loose watercolor washes.",ACM.1982.001,14 x 10.5 in.,,,Landscapes;Winter;Snow;Houses;Trees,Mississippi,,,Arts Center of Mississippi,image,English,In copyright,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/acm_003.png,Small landscape painting showing a river and low horizon.,,City of Jackson Permanent Collection,American,Modern,
acm_004,Tulips,Not listed,,,Acrylic on wood,Stylized composition of three large tulips in red and yellow against a bright green ground.,ACM.2022.002,24 x 16 in.,,,Still lifes;Tulips;Flowers,,,,,,,,,image,/objects/acm_004.png,,,City of Jackson Permanent Collection,,,
acm_005,Apples,Not listed,,,Acrylic on wood,Still life of red apples and green leaves arranged around a basket against a patterned background.,ACM.2022.003,25 x 16 in.,,,Still lifes;Apples;Fruit;Baskets,,,,,,,,,image,/objects/acm_005.png,,,City of Jackson Permanent Collection,,,
acm_006,Clothes on the Line,Sarah Beaugez,2000,FALSE,Photograph,Photograph of brightly colored garments hanging on a clothesline in front of a weathered wooden building.,ACM.2000.001,17 x 12 in.,,,Photography;Clothing;Laundry;Clotheslines;Rural buildings,,,,,,,,,image,/objects/acm_006.png,,,City of Jackson Permanent Collection,,,
acm_007,"Small ""Brim"" at Reservoir",Hazel Bush,,,Acrylic on canvas,"Expressive, densely worked composition with a partially recognizable face emerging through layered strokes of bright color.",ACM.2022.004,16 x 11.5 in.,,,Abstract art;Faces;Expressionism,,,,,,,,,image,/objects/acm_007.png,,,City of Jackson Permanent Collection,,,
acm_008,Calm Waters,Carl Johnson,2017,FALSE,Digital Photograph,Photograph of a calm river or reservoir bordered by trees beneath a broad sky with scattered clouds.,ACM.2017.001,8.5 x 10 in.,,,Landscapes;Rivers;Water;Trees;Clouds,,,,,,,,,image,/objects/acm_008.png,,,City of Jackson Permanent Collection,,,
acm_009,Untitled,,,,Pencil on Paper,Pencil drawing of a seated musician holding and playing a guitar.,ACM.2022.005,5.5 x 8.5 in.,,,Drawings;Musicians;Guitarists;Guitars;Seated figures,,,,,,,,,image,/objects/acm_009.png,,,City of Jackson Permanent Collection,,,
acm_010,Untitled,Miller,,,Watercolor on Paper,Small still life of an apple and a drinking glass set on a striped cloth against a warm-toned background.,ACM.2022.006,6 x 4 in.,,,Still lifes;Apples;Drinking glasses;Table settings,,,,,,,,,image,/objects/acm_010.png,,,City of Jackson Permanent Collection,,,
acm_011,Untitled,Sharon Richardson,,,Oil on canvas,View of a large white columned house approached by a garden path bordered with colorful flowers and trees.,ACM.2022.007,15 x 16 in.,,,Landscapes;Architecture;Houses;Columns;Gardens;Flowers,,,,,,,,,image,/objects/acm_011.png,,,City of Jackson Permanent Collection,,,
acm_012,Let the Sunshine In,Francine L Greenlee,,,Watercolor on Paper,"Garden scene with a curving flower bed, lawn, trees, and a path leading toward a gate.",ACM.2022.008,8.5 x 14 in.,,,Gardens;Landscapes;Flowers;Trees;Paths,,,,,,,,,image,/objects/acm_012.png,,,City of Jackson Permanent Collection,,,
acm_013,Tulips in the Light,Sarah Beaugez,2000,FALSE,Photography,"Photograph of yellow and red tulips in an orange vase beside a wooden chair, with a single pale flower lying on the table.",ACM.2000.002,9.5 x 13 in.,,,Still lifes;Photography;Tulips;Flowers;Vases;Chairs,,,,,,,,,image,/objects/acm_013.png,,,,,,
acm_014,Purple Cape,Eleanor Graves,,,Oil on Canvas,Profile portrait of a seated woman with light hair wearing a purple cape or shawl.,ACM.2022.009,13.5 x 13. 5 in.,,,Portraits;Women;Profile portraits;Shawls,,,,,,,,,image,/objects/acm_014.png,,,,,,
